4,"人教版-初中->七年级上->第一章 有理数->1.1 正数和负数","1.1 正数和负数"
6,"人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.1 有理数","1.2.1 有理数"
7,"人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.2 数轴","1.2.2 数轴"
8,"人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.3 相反数","1.2.3 相反数"
9,"人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.4 绝对值","1.2.4 绝对值"
11,"人教版-初中->七年级上->第一章 有理数->1.3 有理数的加减法->1.3.1 有理数的加法","1.3.1 有理数的加法"
12,"人教版-初中->七年级上->第一章 有理数->1.3 有理数的加减法->1.3.2 有理数的减法","1.3.2 有理数的减法"
14,"人教版-初中->七年级上->第一章 有理数->1.4 有理数的乘除法->1.4.1 有理数的乘法","1.4.1 有理数的乘法"
15,"人教版-初中->七年级上->第一章 有理数->1.4 有理数的乘除法->1.4.2 有理数的除法","1.4.2 有理数的除法"
17,"人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.1 乘方","1.5.1 乘方"
18,"人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.2 科学记数发","1.5.2 科学记数发"
19,"人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.3 近似数","1.5.3 近似数"
21,"人教版-初中->七年级上->第二章 整式的加减->2.1 整式","2.1 整式"
22,"人教版-初中->七年级上->第二章 整式的加减->2.2 整式的加减","2.2 整式的加减"
25,"人教版-初中->七年级上->第三章 一元一次方程->3.1 从算式到方程->3.1.1 一元一次方程","3.1.1 一元一次方程"
26,"人教版-初中->七年级上->第三章 一元一次方程->3.1 从算式到方程->3.1.2 等式的性质","3.1.2 等式的性质"
27,"人教版-初中->七年级上->第三章 一元一次方程->3.2 解一元一次方程（一）——合并同类项与移项","3.2 解一元一次方程（一）——合并同类项与移项"
28,"人教版-初中->七年级上->第三章 一元一次方程->3.3 解一元一次方程（二）——去括号与去分母","3.3 解一元一次方程（二）——去括号与去分母"
29,"人教版-初中->七年级上->第三章 一元一次方程->3.4 实际问题与一元一次方程","3.4 实际问题与一元一次方程"
32,"人教版-初中->七年级上->第四章 几何图形初步->4.1 几何图形->4.1.1 立体图形与平面图形","4.1.1 立体图形与平面图形"
33,"人教版-初中->七年级上->第四章 几何图形初步->4.1 几何图形->4.1.2 点、线、面、体","4.1.2 点、线、面、体"
34,"人教版-初中->七年级上->第四章 几何图形初步->4.2 直线、射线、线段","4.2 直线、射线、线段"
36,"人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.1 角","4.3.1 角"
37,"人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.2 角的比较与运算","4.3.2 角的比较与运算"
38,"人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.3 余角和补角","4.3.3 余角和补角"
39,"人教版-初中->七年级上->第四章 几何图形初步->4.4 课题学习 设计制作长方体形状的包装纸盒","4.4 课题学习 设计制作长方体形状的包装纸盒"
43,"人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.1 相交线","5.1.1 相交线"
44,"人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.2 垂直","5.1.2 垂直"
45,"人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.3 同位角、内错角、同旁内角","5.1.3 同位角、内错角、同旁内角"
47,"人教版-初中->七年级下->第五章 相交线与平行线->5.2 平行线及其判定->5.2.1 平行线","5.2.1 平行线"
48,"人教版-初中->七年级下->第五章 相交线与平行线->5.2 平行线及其判定->5.2.2 平行线的判定","5.2.2 平行线的判定"
50,"人教版-初中->七年级下->第五章 相交线与平行线->5.3 平行线的性质->5.3.1 平行线的性质","5.3.1 平行线的性质"
51,"人教版-初中->七年级下->第五章 相交线与平行线->5.3 平行线的性质->5.3.2 命题、定理、证明","5.3.2 命题、定理、证明"
52,"人教版-初中->七年级下->第五章 相交线与平行线->5.4 平移","5.4 平移"
54,"人教版-初中->七年级下->第六章 实数->6.1 平方根","6.1 平方根"
