ID,PATH,NAME,PARENT_ID
1,人教版-初中,人教版-初中,
2,人教版-初中->七年级上,七年级上,1
3,人教版-初中->七年级上->第一章 有理数,第一章 有理数,2
4,人教版-初中->七年级上->第一章 有理数->1.1 正数和负数,1.1 正数和负数,3
5,人教版-初中->七年级上->第一章 有理数->1.2 有理数,1.2 有理数,3
6,人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.1 有理数,1.2.1 有理数,5
7,人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.2 数轴,1.2.2 数轴,5
8,人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.3 相反数,1.2.3 相反数,5
9,人教版-初中->七年级上->第一章 有理数->1.2 有理数->1.2.4 绝对值,1.2.4 绝对值,5
10,人教版-初中->七年级上->第一章 有理数->1.3 有理数的加减法,1.3 有理数的加减法,3
11,人教版-初中->七年级上->第一章 有理数->1.3 有理数的加减法->1.3.1 有理数的加法,1.3.1 有理数的加法,10
12,人教版-初中->七年级上->第一章 有理数->1.3 有理数的加减法->1.3.2 有理数的减法,1.3.2 有理数的减法,10
13,人教版-初中->七年级上->第一章 有理数->1.4 有理数的乘除法,1.4 有理数的乘除法,3
14,人教版-初中->七年级上->第一章 有理数->1.4 有理数的乘除法->1.4.1 有理数的乘法,1.4.1 有理数的乘法,13
15,人教版-初中->七年级上->第一章 有理数->1.4 有理数的乘除法->1.4.2 有理数的除法,1.4.2 有理数的除法,13
16,人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方,1.5 有理数的乘方,3
17,人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.1 乘方,1.5.1 乘方,16
18,人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.2 科学记数发,1.5.2 科学记数发,16
19,人教版-初中->七年级上->第一章 有理数->1.5 有理数的乘方->1.5.3 近似数,1.5.3 近似数,16
20,人教版-初中->七年级上->第二章 整式的加减,第二章 整式的加减,2
21,人教版-初中->七年级上->第二章 整式的加减->2.1 整式,2.1 整式,20
22,人教版-初中->七年级上->第二章 整式的加减->2.2 整式的加减,2.2 整式的加减,20
23,人教版-初中->七年级上->第三章 一元一次方程,第三章 一元一次方程,2
24,人教版-初中->七年级上->第三章 一元一次方程->3.1 从算式到方程,3.1 从算式到方程,23
25,人教版-初中->七年级上->第三章 一元一次方程->3.1 从算式到方程->3.1.1 一元一次方程,3.1.1 一元一次方程,24
26,人教版-初中->七年级上->第三章 一元一次方程->3.1 从算式到方程->3.1.2 等式的性质,3.1.2 等式的性质,24
27,人教版-初中->七年级上->第三章 一元一次方程->3.2 解一元一次方程（一）——合并同类项与移项,3.2 解一元一次方程（一）——合并同类项与移项,23
28,人教版-初中->七年级上->第三章 一元一次方程->3.3 解一元一次方程（二）——去括号与去分母,3.3 解一元一次方程（二）——去括号与去分母,23
29,人教版-初中->七年级上->第三章 一元一次方程->3.4 实际问题与一元一次方程,3.4 实际问题与一元一次方程,23
30,人教版-初中->七年级上->第四章 几何图形初步,第四章 几何图形初步,2
31,人教版-初中->七年级上->第四章 几何图形初步->4.1 几何图形,4.1 几何图形,30
32,人教版-初中->七年级上->第四章 几何图形初步->4.1 几何图形->4.1.1 立体图形与平面图形,4.1.1 立体图形与平面图形,31
33,人教版-初中->七年级上->第四章 几何图形初步->4.1 几何图形->4.1.2 点、线、面、体,4.1.2 点、线、面、体,31
34,人教版-初中->七年级上->第四章 几何图形初步->4.2 直线、射线、线段,4.2 直线、射线、线段,30
35,人教版-初中->七年级上->第四章 几何图形初步->4.3 角,4.3 角,30
36,人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.1 角,4.3.1 角,35
37,人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.2 角的比较与运算,4.3.2 角的比较与运算,35
38,人教版-初中->七年级上->第四章 几何图形初步->4.3 角->4.3.3 余角和补角,4.3.3 余角和补角,35
39,人教版-初中->七年级上->第四章 几何图形初步->4.4 课题学习 设计制作长方体形状的包装纸盒,4.4 课题学习 设计制作长方体形状的包装纸盒,30
40,人教版-初中->七年级下,七年级下,1
41,人教版-初中->七年级下->第五章 相交线与平行线,第五章 相交线与平行线,40
42,人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线,5.1 相交线,41
43,人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.1 相交线,5.1.1 相交线,42
44,人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.2 垂直,5.1.2 垂直,42
45,人教版-初中->七年级下->第五章 相交线与平行线->5.1 相交线->5.1.3 同位角、内错角、同旁内角,5.1.3 同位角、内错角、同旁内角,42
46,人教版-初中->七年级下->第五章 相交线与平行线->5.2 平行线及其判定,5.2 平行线及其判定,41
47,人教版-初中->七年级下->第五章 相交线与平行线->5.2 平行线及其判定->5.2.1 平行线,5.2.1 平行线,46
48,人教版-初中->七年级下->第五章 相交线与平行线->5.2 平行线及其判定->5.2.2 平行线的判定,5.2.2 平行线的判定,46
49,人教版-初中->七年级下->第五章 相交线与平行线->5.3 平行线的性质,5.3 平行线的性质,41
50,人教版-初中->七年级下->第五章 相交线与平行线->5.3 平行线的性质->5.3.1 平行线的性质,5.3.1 平行线的性质,49
51,人教版-初中->七年级下->第五章 相交线与平行线->5.3 平行线的性质->5.3.2 命题、定理、证明,5.3.2 命题、定理、证明,49
52,人教版-初中->七年级下->第五章 相交线与平行线->5.4 平移,5.4 平移,41
53,人教版-初中->七年级下->第六章 实数,第六章 实数,40
54,人教版-初中->七年级下->第六章 实数->6.1 平方根,6.1 平方根,53
55,人教版-初中->七年级下->第六章 实数->6.2 立方根,6.2 立方根,53
56,人教版-初中->七年级下->第六章 实数->6.3 实数,6.3 实数,53
57,人教版-初中->七年级下->第七章 平面直角坐标系,第七章 平面直角坐标系,40
58,人教版-初中->七年级下->第七章 平面直角坐标系->7.1 平面直角坐标系,7.1 平面直角坐标系,57
59,人教版-初中->七年级下->第七章 平面直角坐标系->7.1 平面直角坐标系->7.1.1 有序数对,7.1.1 有序数对,58
60,人教版-初中->七年级下->第七章 平面直角坐标系->7.1 平面直角坐标系->7.1.2 平面直角坐标系,7.1.2 平面直角坐标系,58
61,人教版-初中->七年级下->第七章 平面直角坐标系->7.2 坐标方法的简单应用,7.2 坐标方法的简单应用,57
62,人教版-初中->七年级下->第七章 平面直角坐标系->7.2 坐标方法的简单应用->7.2.1 用坐标表示地理位置,7.2.1 用坐标表示地理位置,61
63,人教版-初中->七年级下->第七章 平面直角坐标系->7.2 坐标方法的简单应用->7.2.2 用坐标表示平移,7.2.2 用坐标表示平移,61
64,人教版-初中->七年级下->第七章 平面直角坐标系->8.2 消元——解二元一次方程组,8.2 消元——解二元一次方程组,57
65,人教版-初中->七年级下->第七章 平面直角坐标系->8.3 实际问题与二元一次方程组,8.3 实际问题与二元一次方程组,57
66,人教版-初中->七年级下->第七章 平面直角坐标系->8.4 三元一次方程组的解法,8.4 三元一次方程组的解法,57
67,人教版-初中->七年级下->第八章 二元一次方程组,第八章 二元一次方程组,40
68,人教版-初中->七年级下->第八章 二元一次方程组->8.1 二元一次方程组,8.1 二元一次方程组,67
69,人教版-初中->七年级下->第八章 二元一次方程组->8.2 消元——解二元一次方程组,8.2 消元——解二元一次方程组,67
70,人教版-初中->七年级下->第八章 二元一次方程组->8.3 实际问题与二元一次方程组,8.3 实际问题与二元一次方程组,67
71,人教版-初中->七年级下->第八章 二元一次方程组->8.4 三元一次方程组的解法,8.4 三元一次方程组的解法,67
72,人教版-初中->七年级下->第九章 不等式与不等式组,第九章 不等式与不等式组,40
73,人教版-初中->七年级下->第九章 不等式与不等式组->9.1 不等式,9.1 不等式,72
74,人教版-初中->七年级下->第九章 不等式与不等式组->9.1 不等式->9.1.1 不等式及其解集,9.1.1 不等式及其解集,73
75,人教版-初中->七年级下->第九章 不等式与不等式组->9.1 不等式->9.1.2 不等式的性质,9.1.2 不等式的性质,73
76,人教版-初中->七年级下->第九章 不等式与不等式组->9.2 一元一次不等式,9.2 一元一次不等式,72
77,人教版-初中->七年级下->第九章 不等式与不等式组->9.3 一元一次不等式组,9.3 一元一次不等式组,72
78,人教版-初中->七年级下->第十章 数据的收集、整理与描述,第十章 数据的收集、整理与描述,40
79,人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.1 统计调查,10.1 统计调查,78
80,人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.2 直方图,10.2 直方图,78
81,人教版-初中->七年级下->第十章 数据的收集、整理与描述->10.3 课题学习 从数据谈节水,10.3 课题学习 从数据谈节水,78
82,人教版-初中->八年级上,八年级上,1
83,人教版-初中->八年级上->第十一章 三角形,第十一章 三角形,82
84,人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段,11.1 与三角形有关的线段,83
85,人教版-初中->八年级上->第十一章 三角形->11.1 与三角形有关的线段->11.1.1 三角形的边,11.1.1 三角形的边,84
