教材版本,年级,章,节,小节
人教版-初中,七年级上,第一章 有理数,1.1 正数和负数,
,,,1.2 有理数,1.2.1 有理数
,,,,1.2.2 数轴
,,,,1.2.3 相反数
,,,,1.2.4 绝对值
,,,1.3 有理数的加减法,1.3.1 有理数的加法
,,,,1.3.2 有理数的减法
,,,1.4 有理数的乘除法,1.4.1 有理数的乘法
,,,,1.4.2 有理数的除法
,,,1.5 有理数的乘方,1.5.1 乘方
,,,,1.5.2 科学记数发
,,,,1.5.3 近似数
,,第二章 整式的加减,2.1 整式,
,,,2.2 整式的加减,
,,第三章 一元一次方程,3.1 从算式到方程,3.1.1 一元一次方程
,,,,3.1.2 等式的性质
,,,3.2 解一元一次方程（一）——合并同类项与移项,
,,,3.3 解一元一次方程（二）——去括号与去分母,
,,,3.4 实际问题与一元一次方程,
,,第四章 几何图形初步,4.1 几何图形,4.1.1 立体图形与平面图形
,,,,4.1.2 点、线、面、体
,,,4.2 直线、射线、线段,
,,,4.3 角,4.3.1 角
,,,,4.3.2 角的比较与运算
,,,,4.3.3 余角和补角
,,,4.4 课题学习 设计制作长方体形状的包装纸盒,
,七年级下,第五章 相交线与平行线,5.1 相交线,5.1.1 相交线
,,,,5.1.2 垂直
,,,,5.1.3 同位角、内错角、同旁内角
,,,5.2 平行线及其判定,5.2.1 平行线
,,,,5.2.2 平行线的判定
,,,5.3 平行线的性质,5.3.1 平行线的性质
,,,,5.3.2 命题、定理、证明
,,,5.4 平移,
,,第六章 实数,6.1 平方根,
,,,6.2 立方根,
,,,6.3 实数,
,,第七章 平面直角坐标系,7.1 平面直角坐标系,7.1.1 有序数对
,,,,7.1.2 平面直角坐标系
,,,7.2 坐标方法的简单应用,7.2.1 用坐标表示地理位置
,,,,7.2.2 用坐标表示平移
,,,8.2 消元——解二元一次方程组,
,,,8.3 实际问题与二元一次方程组,
,,,8.4 三元一次方程组的解法,
,,第八章 二元一次方程组,8.1 二元一次方程组,
,,,8.2 消元——解二元一次方程组,
,,,8.3 实际问题与二元一次方程组,
,,,8.4 三元一次方程组的解法,
,,,,
,,第九章 不等式与不等式组,9.1 不等式,9.1.1 不等式及其解集
,,,,9.1.2 不等式的性质
,,,9.2 一元一次不等式,
,,,9.3 一元一次不等式组,
,,第十章 数据的收集、整理与描述,10.1 统计调查,
,,,10.2 直方图,
,,,10.3 课题学习 从数据谈节水,
,八年级上,第十一章 三角形,11.1 与三角形有关的线段,11.1.1 三角形的边
,,,,11.1.2 三角形的高、中线与角平分线
,,,,11.1.3 三角形的稳定性
,,,11.2 与三角形有关的角,11.2.1 三角形的内角
,,,,11.2.2 三角形的外角
,,,11.3 多边形及其内角和,11.3.1 多边形
,,,,11.3.2 多边形的内角和
,,第十二章 全等三角形,12.1 全等三角形,
,,,12.2 三角形全等的判定,
,,,12.3 角的平分线的性质,
,,第十三章 轴对称,13.1 轴对称,13.1.1 轴对称
,,,,13.1.2 线段的垂直平分线的性质
,,,13.2 画轴对称图形,
,,,13.3 等腰三角形,13.3.1 等腰三角形
,,,,13.3.2 等边三角形
,,,13.4 课题学习 最短路径问题,
,,第十四章 整式的乘法与因式分解,14.1 整式的乘法,14.1.1 同底数幂的乘法
,,,,14.1.2 幂的乘方
,,,,14.1.3 积的乘方
,,,,14.1.4 整式的乘法
,,,14.2 乘法公式,14.2.1 平方差公式
,,,,14.2.2 完全平方公式
,,,14.3 因式分解,14.3.1 提取公因式
